bib_key,title,year,venue,type,doi,verified,used_in_section,peer_reviewed,notes
sidarto2021halal,Halal poultry traceability blockchain Indonesia,2021,Frontiers in Blockchain,journal,10.3389/fbloc.2021.612898,yes,01_intro;02_related;03_prelim,yes,CrossRef verified
alourani2025halal,Halal food traceability AI and blockchain,2025,Journal of Posthumanism,journal,10.63332/joph.v5i2.437,yes,02_related,yes,CrossRef verified
marianingsih2024halal,AI-blockchain halal cross-border certification,2024,LangTech,journal,10.53515/lt.v7i2.165,yes,02_related,yes,CrossRef verified (year may show 2026 online)
rejeb2018halal,Halal meat HACCP blockchain IoT,2018,Acta Technica Jaurinensis,journal,10.14513/actatechjaur.v11.n4.467,yes,02_related,yes,CrossRef verified
rashid2018halal,Halal traceability adoption and supply chain integrity,2018,Int J Asian Social Science,journal,10.18488/journal.1.2018.88.569.579,yes,01_intro;02_related;03_prelim,yes,CrossRef verified
casino2021systematic,Systematic literature review of blockchain applications,2019,Telematics and Informatics,journal,10.1016/j.tele.2018.11.006,yes,02_related;06_eval,yes,CrossRef verified
kamilaris2019blockchain,Blockchain in agriculture and food supply chains,2019,Trends in Food Science & Technology,journal,10.1016/j.tifs.2019.07.034,yes,02_related,yes,CrossRef verified
rejeb2020blockchain,Blockchain technology in the food industry review,2020,Logistics,journal,10.3390/logistics4040027,yes,02_related,yes,CrossRef verified
kamath2018blockchain,Walmart pork mango blockchain pilots,2018,JBBA,journal,10.31585/jbba-1-1-(10)2018,yes,02_related,yes,CrossRef verified
zheng2020overview,Overview on smart contracts,2020,Future Generation Computer Systems,journal,10.1016/j.future.2019.12.019,yes,01_intro,yes,CrossRef verified
benet2014ipfs,IPFS whitepaper,2014,arXiv,preprint,,yes,01_intro;02_related;04_design,no,arXiv:1407.3561
andoni2019blockchain,Blockchain in energy sector review,2019,Renewable and Sustainable Energy Reviews,journal,10.1016/j.rser.2018.10.014,yes,02_related,yes,CrossRef verified
kouhizadeh2018blockchain,Blockchain in green supply chains,2018,Sustainability,journal,10.3390/su10103652,yes,02_related,yes,CrossRef verified
kalodner2018arbitrum,Arbitrum scalable smart contracts,2018,USENIX Security,conference,,yes,02_related,yes,USENIX URL valid
optimism2024spec,OP Stack Specification,2024,Optimism docs,tech report,,n-a,02_related,no,Web documentation
base2024docs,Base Network Documentation,2024,Base docs,tech report,,n-a,05_implementation,no,Web documentation
openzeppelin2024access,OpenZeppelin AccessControl,2024,OpenZeppelin docs,tech report,,n-a,04_system_design,no,Web documentation
friedman2017value,Value Sensitive Design,2019,MIT Press,book,10.7551/mitpress/7585.001.0001,yes,03_prelim,yes,CrossRef verified
dinarstandard2023state,State of Global Islamic Economy,2023,DinarStandard,report,,partial,01_intro,no,Industry report
bpjph2022regulation,Indonesia Halal Product Assurance Law,2014,Gov of Indonesia,standard,,partial,03_prelim,no,Legal/regulatory reference
gnosis2024safe,Safe Multisig Documentation,2024,Gnosis docs,tech report,,n-a,07_discussion,no,Web documentation
christidis2016blockchain,Blockchains and smart contracts for IoT,2016,IEEE Access,journal,10.1109/ACCESS.2016.2566339,yes,02_related;04_design,yes,CrossRef verified
kshetri2018blockchain,Blockchain roles in SCM objectives,2018,Int J Info Management,journal,10.1016/j.ijinfomgt.2017.12.005,yes,01_intro;02_related;03_prelim,yes,CrossRef verified
galvez2018future,Blockchain for food traceability analysis,2018,TrAC Trends in Analytical Chemistry,journal,10.1016/j.trac.2018.08.011,yes,02_related,yes,CrossRef verified
abeyratne2016blockchain,Blockchain ready manufacturing supply chain,2016,IJRET,journal,10.15623/ijret.2016.0509001,yes,02_related,yes,CrossRef verified
viriyasitavat2019blockchain,Blockchain characteristics and consensus,2019,Journal of Industrial Information Integration,journal,10.1016/j.jii.2018.07.004,yes,07_discussion,yes,CrossRef verified
caro2018blockchain,Blockchain agri-food traceability implementation,2018,IoT Agriculture Summit,conference,10.1109/iot-tuscany.2018.8373021,yes,02_related,yes,Fixed DOI from subagent audit
underwood2016blockchain,Blockchain beyond bitcoin,2016,Communications of the ACM,journal,10.1145/2994581,yes,01_intro;07_discussion,yes,Fixed DOI from subagent audit
